City_ID,City,Country,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
79,Mamontovo,RU,52.7055,81.6244,1.2,94,98,3.51,overcast clouds
80,Bellavista,PE,-7.0561,-76.5911,78.28,89,100,3.44,overcast clouds
81,Ilulissat,GL,69.2167,-51.1,6.82,56,75,1.14,broken clouds
82,Doha,QA,25.2867,51.5333,69.78,85,75,10.36,broken clouds
83,Novikovo,RU,51.1537,37.8879,29.08,96,98,7.85,overcast clouds
84,George Town,MY,5.4112,100.3354,78.73,100,20,2.3,few clouds
85,Antalaha,MG,-14.9003,50.2788,76.08,87,3,8.95,clear sky
86,Longyearbyen,SJ,78.2186,15.6401,4.84,78,20,17.27,few clouds
87,Butaritari,KI,3.0707,172.7902,80.56,78,100,18.77,light rain
88,Kaitangata,NZ,-46.2817,169.8464,68.14,71,42,5.44,light rain
89,Umluj,SA,25.0213,37.2685,65.55,57,0,13.42,clear sky
90,Bluff,NZ,-46.6,168.3333,62.94,95,85,3.98,overcast clouds
91,Airai,TL,-8.9266,125.4092,61.23,96,100,2.93,overcast clouds
92,Okoneshnikovo,RU,54.8377,75.0834,-9.02,100,70,1.72,broken clouds
93,Cristalina,BR,-16.7686,-47.6136,75.0,63,91,5.1,overcast clouds
94,Decatur,US,39.8403,-88.9548,44.35,49,0,12.66,clear sky
95,Camacha,PT,33.0833,-16.3333,56.62,58,40,10.36,scattered clouds
96,Hässleholm,SE,56.1591,13.7664,27.75,77,100,0.98,overcast clouds
97,Hermanus,ZA,-34.4187,19.2345,63.81,77,12,5.7,few clouds
98,Mossamedes,AO,-15.1961,12.1522,72.84,77,50,5.53,scattered clouds
99,Taoudenni,ML,22.6783,-3.9836,60.46,13,38,10.98,scattered clouds
100,Harper,LR,4.375,-7.7169,80.1,84,5,7.67,clear sky
101,Harlingen,US,26.1906,-97.6961,47.05,93,100,18.41,overcast clouds
102,Pevek,RU,69.7008,170.3133,-13.43,100,74,1.52,broken clouds
103,Nikolskoye,RU,59.7035,30.7861,30.09,98,100,1.68,overcast clouds
104,Hobyo,SO,5.3505,48.5268,76.24,72,98,17.67,overcast clouds
105,Olafsvik,IS,64.8945,-23.7142,38.17,87,60,14.03,broken clouds
106,Hay River,CA,60.8156,-115.7999,-16.62,63,40,8.05,scattered clouds
107,Saint-Philippe,RE,-21.3585,55.7679,78.39,88,77,14.85,light rain
108,Sumter,US,28.7086,-82.0831,85.19,57,38,9.31,scattered clouds
109,Liverpool,GB,53.4106,-2.9779,52.43,75,75,16.11,broken clouds
110,Jiaojiang,CN,28.6803,121.4428,45.0,75,100,6.38,overcast clouds
111,Forsytheganj,BY,52.6333,29.7333,31.28,97,100,4.36,overcast clouds
112,Thompson,CA,55.7435,-97.8558,-20.04,57,0,16.11,clear sky
113,Ahipara,NZ,-35.1667,173.1667,70.9,97,97,6.26,overcast clouds
114,Tasiilaq,GL,65.6145,-37.6368,19.2,77,100,9.15,overcast clouds
115,Hilo,US,19.7297,-155.09,83.28,66,0,4.61,clear sky
116,Hailey,US,43.5196,-114.3153,26.46,46,0,5.75,clear sky
117,Isangel,VU,-19.55,169.2667,81.99,81,10,6.51,clear sky
118,Nome,US,64.5011,-165.4064,14.07,92,100,0.0,mist
119,Severo-Kuril'sk,RU,50.6789,156.125,29.19,97,100,42.77,snow
120,Ribeira Grande,PT,38.5167,-28.7,60.78,82,20,16.11,few clouds
121,Largo,US,27.9095,-82.7873,84.16,76,0,8.05,clear sky
122,Mitsamiouli,KM,-11.3847,43.2844,81.21,79,100,2.86,moderate rain
123,Nantucket,US,41.2835,-70.0995,37.45,55,0,13.8,clear sky
124,Torbay,CA,47.6666,-52.7314,18.75,68,20,13.8,few clouds
125,Alice Springs,AU,-23.7,133.8833,60.35,77,0,1.14,clear sky
126,Lebu,CL,-37.6167,-73.65,63.66,66,0,22.95,clear sky
127,Upernavik,GL,72.7868,-56.1549,-8.14,85,75,3.04,broken clouds
128,Bambous Virieux,MU,-20.3428,57.7575,79.21,83,40,2.3,light rain
129,Bethel,US,41.3712,-73.414,39.54,38,0,11.5,clear sky
130,Mar del Plata,AR,-38.0023,-57.5575,72.82,88,100,18.01,moderate rain
131,Mizdah,LY,31.4451,12.9801,50.97,53,100,8.7,overcast clouds
132,Yellowknife,CA,62.456,-114.3525,-21.44,76,20,9.22,few clouds
133,Genhe,CN,50.7833,121.5167,-25.38,100,96,1.07,overcast clouds
134,Rusape,ZW,-18.5278,32.1284,67.24,76,87,4.54,overcast clouds
135,Lieksa,FI,63.3167,30.0167,16.29,95,100,4.38,overcast clouds
136,Takoradze,GH,4.8845,-1.7554,80.83,83,12,6.35,few clouds
137,Saint George,US,37.1041,-113.5841,50.43,35,0,3.0,clear sky
138,Constitución,CL,-35.3333,-72.4167,74.16,47,3,18.1,clear sky
139,Altotonga,MX,19.7667,-97.2333,61.18,76,85,7.09,overcast clouds
140,Laas,IT,46.6166,10.7002,38.28,95,82,7.92,broken clouds
141,Tazovsky,RU,67.4667,78.7,0.36,97,19,7.47,few clouds
142,Ayamé,CI,5.6083,-3.1563,79.45,77,75,6.38,broken clouds
