City,Country,Max Temp,Weather Description,Latitude,Longitude,Hotel Name
Mayumba,GA,80.01,light rain,-3.432,10.6554,Résidence Hôtelière Fabso
Puerto Escondido,MX,85.03,few clouds,15.85,-97.0667,Hotel Barlovento
Kawalu,ID,71.38,overcast clouds,-7.3817,108.2082,Hotel Surya
Nabire,ID,75.13,overcast clouds,-3.3667,135.4833,Hotel Anggrek
Tabou,CI,80.1,clear sky,4.423,-7.3528,hôtel le rochet
Ciudad Bolivar,VE,88.65,overcast clouds,8.1222,-63.5497,Paoca
Shrīrangapattana,IN,70.3,overcast clouds,12.4136,76.7042,Amblee Holiday resort
Manta,EC,82.18,broken clouds,-0.95,-80.7333,La Gaviota
Hualmay,PE,76.57,overcast clouds,-11.0964,-77.6139,Hotel Mi Choacan
Marigot,MF,82.18,scattered clouds,18.0667,-63.0833,Centr' Hotel
Natal,BR,84.42,scattered clouds,-5.795,-35.2094,Natal Palace Hotel
Paka,MY,76.98,overcast clouds,4.6374,103.4368,Paka Inn
Galle,LK,75.9,overcast clouds,6.0367,80.217,Jungle Hostel Villa
Bull Savanna,JM,80.31,clear sky,17.8868,-77.5902,Junction Guest House
Kimbe,PG,76.28,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
Santa Cruz de la Sierra,BO,80.06,light rain,-17.8,-63.1667,Aviador Hotel Boutique
Upata,VE,82.18,overcast clouds,8.0086,-62.3989,Hotel Garibardi
La Palma,US,71.82,broken clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
Bontang,ID,74.59,overcast clouds,0.1333,117.5,Hotel Sederhana
Tagusao,PH,77.49,overcast clouds,9.1924,117.8141,"Shaman's Breath- Beach, Bed & Breakfast"
Kumba,CM,78.03,clear sky,4.6363,9.4469,Sharma Rock Hotel
Vao,NC,79.7,broken clouds,-22.6667,167.4833,Nataiwatch
Marsh Harbour,BS,76.06,clear sky,26.5412,-77.0636,Lofty Fig Villas
Durban,ZA,77.02,scattered clouds,-29.8579,31.0292,Tudor
Kokopo,PG,79.59,overcast clouds,-4.352,152.2633,Hotel Kokopo
Ballina,AU,71.78,few clouds,-28.8667,153.5667,Ballina Beach Resort
Kathu,TH,76.82,overcast clouds,7.9178,98.3332,Tinidee Hotel
Pereira Barreto,BR,87.37,light rain,-20.6383,-51.1092,Rota Hotel
Key Largo,US,84.0,broken clouds,25.0865,-80.4473,Key Largo Inn
Pekan,MY,75.31,overcast clouds,3.4836,103.3996,Ancasa Royale Hotel
Salalah,OM,73.49,broken clouds,17.0151,54.0924,Muscat International Hotel
Impfondo,CG,74.95,overcast clouds,1.6381,18.0667,Tropicana
Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
Kahului,US,80.96,few clouds,20.8947,-156.47,Maui Seaside Hotel
Bubaque,GW,77.04,scattered clouds,11.2833,-15.8333,Chez Julio
Richards Bay,ZA,75.0,light rain,-28.783,32.0377,Protea Hotel
Playas,EC,81.19,broken clouds,-2.6333,-80.3833,Hotel las Redes
